algorithm,nodes_count,active_nodes,failed_nodes,packet_loss_probability,node_failure_probability,duration_ms,coverage_active_pct,coverage_total_pct,messages_sent,packets_lost,failed_deliveries,duplicates,rounds,p95_delivery_ms,scenario,repeat
Hybrid Multicast-Gossip,200,200,0,0.0,0.0,8.932821,100.0,100.0,599,0,0,400,3,3.5220306063595332,S0: идеальная сеть,10
Single Cast,200,200,0,0.1,0.0,3.569704,87.5,87.5,199,25,0,0,1,3.1520741406084913,S1: потеря пакетов 10%,1
Single Cast,200,200,0,0.1,0.0,3.476767,89.0,89.0,199,22,0,0,1,3.073003420468069,S1: потеря пакетов 10%,2
Single Cast,200,200,0,0.1,0.0,3.528413,88.5,88.5,199,23,0,0,1,3.189482932835155,S1: потеря пакетов 10%,3
Single Cast,200,200,0,0.1,0.0,3.48237,91.5,91.5,199,17,0,0,1,3.0821777768770864,S1: потеря пакетов 10%,4
Single Cast,200,200,0,0.1,0.0,3.51823,92.0,92.0,199,16,0,0,1,3.0933496798502973,S1: потеря пакетов 10%,5
Single Cast,200,200,0,0.1,0.0,3.514144,89.0,89.0,199,22,0,0,1,3.1323747769112247,S1: потеря пакетов 10%,6
Single Cast,200,200,0,0.1,0.0,3.455867,87.5,87.5,199,25,0,0,1,3.1378220949698346,S1: потеря пакетов 10%,7
Single Cast,200,200,0,0.1,0.0,3.469902,88.0,88.0,199,24,0,0,1,3.0554190912582087,S1: потеря пакетов 10%,8
Single Cast,200,200,0,0.1,0.0,3.404977,90.5,90.5,199,19,0,0,1,3.1714176922458526,S1: потеря пакетов 10%,9
Single Cast,200,200,0,0.1,0.0,3.436551,89.5,89.5,199,21,0,0,1,3.0283238788645725,S1: потеря пакетов 10%,10
Hierarchical Multicast,200,200,0,0.1,0.0,3.969652,70.5,70.5,161,21,0,0,2,3.719335680961456,S1: потеря пакетов 10%,1
Hierarchical Multicast,200,200,0,0.1,0.0,3.930098,74.0,74.0,161,14,0,0,2,3.4170249218104773,S1: потеря пакетов 10%,2
Hierarchical Multicast,200,200,0,0.1,0.0,4.058213,79.5,79.5,180,22,0,0,2,3.6779838041341852,S1: потеря пакетов 10%,3
Hierarchical Multicast,200,200,0,0.1,0.0,4.060561,91.5,91.5,199,17,0,0,2,3.9033832287369084,S1: потеря пакетов 10%,4
Hierarchical Multicast,200,200,0,0.1,0.0,4.066194,92.0,92.0,199,16,0,0,2,3.6413139008135,S1: потеря пакетов 10%,5
Hierarchical Multicast,200,200,0,0.1,0.0,4.047206,81.0,81.0,180,19,0,0,2,3.7194493632110364,S1: потеря пакетов 10%,6
Hierarchical Multicast,200,200,0,0.1,0.0,3.967382,71.0,71.0,161,20,0,0,2,3.842914979346195,S1: потеря пакетов 10%,7
Hierarchical Multicast,200,200,0,0.1,0.0,3.985192,88.0,88.0,199,24,0,0,2,3.5221237824594693,S1: потеря пакетов 10%,8
Hierarchical Multicast,200,200,0,0.1,0.0,3.694088,83.0,83.0,180,15,0,0,2,3.410889729916727,S1: потеря пакетов 10%,9
Hierarchical Multicast,200,200,0,0.1,0.0,3.815198,81.5,81.5,180,18,0,0,2,3.4770269511948406,S1: потеря пакетов 10%,10
Broadcast Flooding,200,200,0,0.1,0.0,2.476006,100.0,100.0,39601,4026,0,35376,200,2.3406913254520103,S1: потеря пакетов 10%,1
Broadcast Flooding,200,200,0,0.1,0.0,2.705771,100.0,100.0,39601,3948,0,35454,200,2.328981517539228,S1: потеря пакетов 10%,2
Broadcast Flooding,200,200,0,0.1,0.0,2.529484,100.0,100.0,39601,4029,0,35373,200,2.299262747440988,S1: потеря пакетов 10%,3
Broadcast Flooding,200,200,0,0.1,0.0,2.486606,100.0,100.0,39601,3890,0,35512,200,2.311204392482353,S1: потеря пакетов 10%,4
Broadcast Flooding,200,200,0,0.1,0.0,2.438379,100.0,100.0,39601,3995,0,35407,200,2.2799479254315282,S1: потеря пакетов 10%,5
Broadcast Flooding,200,200,0,0.1,0.0,2.556037,100.0,100.0,39601,3997,0,35405,200,2.383693136844606,S1: потеря пакетов 10%,6
Broadcast Flooding,200,200,0,0.1,0.0,2.46696,100.0,100.0,39601,4019,0,35383,200,2.282086044857649,S1: потеря пакетов 10%,7
Broadcast Flooding,200,200,0,0.1,0.0,2.558306,100.0,100.0,39601,4022,0,35380,200,2.2793269398536378,S1: потеря пакетов 10%,8
Broadcast Flooding,200,200,0,0.1,0.0,2.508139,100.0,100.0,39601,3910,0,35492,200,2.2792894884566337,S1: потеря пакетов 10%,9
Broadcast Flooding,200,200,0,0.1,0.0,2.623485,100.0,100.0,39601,3863,0,35539,200,2.325964183894124,S1: потеря пакетов 10%,10
Gossip Push,200,200,0,0.1,0.0,35.0,100.0,100.0,1779,192,0,1388,7,30.80891872848232,S1: потеря пакетов 10%,1
Gossip Push,200,200,0,0.1,0.0,30.0,100.0,100.0,1095,100,0,796,6,30.833805372780073,S1: потеря пакетов 10%,2
Gossip Push,200,200,0,0.1,0.0,30.0,100.0,100.0,1098,113,0,786,6,31.087642944283303,S1: потеря пакетов 10%,3
Gossip Push,200,200,0,0.1,0.0,30.0,100.0,100.0,1149,100,0,850,6,30.67772207519555,S1: потеря пакетов 10%,4
Gossip Push,200,200,0,0.1,0.0,35.0,100.0,100.0,1626,147,0,1280,7,31.48238955071375,S1: потеря пакетов 10%,5
Gossip Push,200,200,0,0.1,0.0,35.0,100.0,100.0,1707,168,0,1340,7,31.803382292716016,S1: потеря пакетов 10%,6
Gossip Push,200,200,0,0.1,0.0,35.0,100.0,100.0,1629,171,0,1259,7,31.277635490023826,S1: потеря пакетов 10%,7
Gossip Push,200,200,0,0.1,0.0,30.0,100.0,100.0,1149,101,0,849,6,30.792947548547314,S1: потеря пакетов 10%,8
Gossip Push,200,200,0,0.1,0.0,40.0,100.0,100.0,2268,237,0,1832,8,31.292832756600397,S1: потеря пакетов 10%,9
Gossip Push,200,200,0,0.1,0.0,30.0,100.0,100.0,1152,101,0,852,6,30.687735257233452,S1: потеря пакетов 10%,10
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,15.0,100.0,100.0,2618,263,0,0,3,16.450005657063677,S1: потеря пакетов 10%,1
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3432,347,0,0,4,16.84221714941904,S1: потеря пакетов 10%,2
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,15.0,100.0,100.0,2613,234,0,0,3,16.63815590944858,S1: потеря пакетов 10%,3
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3412,301,0,0,4,16.675585821359256,S1: потеря пакетов 10%,4
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,15.0,100.0,100.0,2621,250,0,0,3,16.71770878287826,S1: потеря пакетов 10%,5
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3827,390,0,0,4,16.727541093732466,S1: потеря пакетов 10%,6
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3821,383,0,0,4,16.75883546196974,S1: потеря пакетов 10%,7
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3823,376,0,0,4,16.952736362332914,S1: потеря пакетов 10%,8
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3421,377,0,0,4,16.911881901870355,S1: потеря пакетов 10%,9
Adaptive Gossip Push-Pull,200,200,0,0.1,0.0,20.0,100.0,100.0,3825,376,0,0,4,16.64260371219799,S1: потеря пакетов 10%,10
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,28.969652,100.0,100.0,1999,234,0,1566,7,15.129443124419554,S1: потеря пакетов 10%,1
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,18.930098,100.0,100.0,1223,122,0,902,5,14.765989338365781,S1: потеря пакетов 10%,2
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,19.058213,100.0,100.0,1284,134,0,951,5,10.839271257806946,S1: потеря пакетов 10%,3
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,19.060561,100.0,100.0,1349,117,0,1033,5,10.645653299241367,S1: потеря пакетов 10%,4
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,14.066194,100.0,100.0,965,106,0,660,4,9.900468785273844,S1: потеря пакетов 10%,5
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,29.047206,100.0,100.0,2072,207,0,1666,7,11.021648283011476,S1: потеря пакетов 10%,6
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,18.967382,100.0,100.0,1205,123,0,883,5,15.14566292214575,S1: потеря пакетов 10%,7
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,13.985192,100.0,100.0,941,99,0,643,4,10.62937968516654,S1: потеря пакетов 10%,8
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,13.694088,100.0,100.0,900,89,0,612,4,10.561872608443107,S1: потеря пакетов 10%,9
Hybrid Multicast-Gossip,200,200,0,0.1,0.0,13.815198,100.0,100.0,892,91,0,602,4,10.702443649578825,S1: потеря пакетов 10%,10
Single Cast,200,180,20,0.2,0.1,3.396776,82.22222222222223,74.0,199,32,20,0,1,3.0726224503377355,"S2: потеря 20%, отказ 10%",1
Single Cast,200,180,20,0.2,0.1,3.266974,82.22222222222223,74.0,199,32,20,0,1,3.097314649014749,"S2: потеря 20%, отказ 10%",2
Single Cast,200,180,20,0.2,0.1,3.26433,81.11111111111111,73.0,199,34,20,0,1,3.0810471286901344,"S2: потеря 20%, отказ 10%",3
Single Cast,200,180,20,0.2,0.1,3.434192,77.77777777777777,70.0,199,40,20,0,1,3.2247688340803093,"S2: потеря 20%, отказ 10%",4
Single Cast,200,180,20,0.2,0.1,3.363959,77.77777777777777,70.0,199,40,20,0,1,3.0099579130424354,"S2: потеря 20%, отказ 10%",5
